trial_index,time_elapsed,rt,response,avg_frame_time,center_x,center_y,note,correct
119,159692,"[85,534,678,839]","[""d"",""d"",""d"",""d""]",16.66645763,250,150,1,FALSE
120,160701,"[32,642,643]","[""d"",""a"",""s""]",16.66733898,250,150,1110,TRUE
121,161704,"[480,480,498,680,680,680]","[""a"",""f"",""d"",""a"",""d"",""f""]",16.66703333,250,150,1011,FALSE
122,162708,"[615,775]","[""s"",""s""]",16.66720339,250,150,100,FALSE
123,163716,"[611,611,792]","[""a"",""f"",""f""]",16.66718644,250,150,1001,FALSE
124,164720,"[658,658,800,819]","[""a"",""s"",""a"",""s""]",16.66561667,250,150,1100,FALSE
125,165725,"[717,717,741]","[""a"",""s"",""f""]",16.6670678,250,150,1101,TRUE
126,166732,"[513,513,513]","[""a"",""d"",""f""]",16.66584746,250,150,1011,TRUE
127,167733,"[449,449,489]","[""a"",""s"",""d""]",16.66667797,250,150,1100,FALSE
128,168737,"[456,475,475]","[""d"",""s"",""f""]",16.66743333,250,150,110,FALSE
129,169740,[530],"[""s""]",16.66610169,250,150,100,TRUE
130,170748,"[489,512]","[""a"",""f""]",16.66688136,250,150,1001,TRUE
131,171754,"[551,575]","[""f"",""s""]",16.66735,250,150,101,TRUE
132,172756,"[525,525]","[""a"",""f""]",16.66689831,250,150,1001,TRUE
133,173764,"[466,466]","[""s"",""f""]",16.66742373,250,150,101,TRUE
134,174770,"[489,511]","[""f"",""d""]",16.66728814,250,150,11,TRUE
135,175771,"[428,428]","[""s"",""d""]",16.66766667,250,150,110,TRUE
136,176780,[427],"[""s""]",16.66528814,250,150,100,TRUE
137,177787,"[400,424]","[""s"",""f""]",16.66528333,250,150,101,TRUE
138,178794,"[546,570,570]","[""s"",""a"",""f""]",16.66716949,250,150,1101,TRUE
139,179796,"[537,561]","[""a"",""s""]",16.66649153,250,150,1100,TRUE
140,180804,"[449,449,464]","[""d"",""f"",""a""]",16.66746667,250,150,1011,TRUE
141,181813,[417],"[""s""]",16.66832203,250,150,100,TRUE
142,182820,"[471,472,472]","[""a"",""d"",""f""]",16.66881356,250,150,1011,TRUE
143,183821,"[514,514]","[""s"",""f""]",16.6681,250,150,101,TRUE
144,184827,"[496,496]","[""a"",""f""]",16.66701695,250,150,1001,TRUE
145,185836,"[433,451]","[""a"",""s""]",16.66661017,250,150,1100,TRUE
146,186837,"[424,442]","[""f"",""a""]",16.66826667,250,150,1,FALSE
147,187843,[478],"[""s""]",16.66684746,250,150,100,TRUE
148,188852,"[560,579,723]","[""a"",""s"",""a""]",16.66694915,250,150,1100,FALSE
